,day,month,year,temp,data
0, 1 ,01,2019,-3,2019-01-01
1, 2 ,01,2019,-2,2019-01-02
2, 3 ,01,2019,-2,2019-01-03
3, 4 ,01,2019,-3,2019-01-04
4, 5 ,01,2019,-5,2019-01-05
5, 6 ,01,2019,-8,2019-01-06
6, 7 ,01,2019,-10,2019-01-07
7, 8 ,01,2019,-8,2019-01-08
8, 9 ,01,2019,-10,2019-01-09
9, 10 ,01,2019,-9,2019-01-10
10, 11 ,01,2019,-10,2019-01-11
11, 12 ,01,2019,-9,2019-01-12
12, 13 ,01,2019,-4,2019-01-13
13, 14 ,01,2019,-2,2019-01-14
14, 15 ,01,2019,0,2019-01-15
15, 16 ,01,2019,-5,2019-01-16
16, 17 ,01,2019,-1,2019-01-17
17, 18 ,01,2019,1,2019-01-18
18, 19 ,01,2019,1,2019-01-19
19, 20 ,01,2019,-4,2019-01-20
20, 21 ,01,2019,-4,2019-01-21
21, 22 ,01,2019,-14,2019-01-22
22, 23 ,01,2019,-13,2019-01-23
23, 24 ,01,2019,-11,2019-01-24
24, 25 ,01,2019,-11,2019-01-25
25, 26 ,01,2019,-8,2019-01-26
26, 27 ,01,2019,-7,2019-01-27
27, 28 ,01,2019,-7,2019-01-28
28, 29 ,01,2019,-2,2019-01-29
29, 30 ,01,2019,-2,2019-01-30
30, 31 ,01,2019,1,2019-01-31
31, 1 ,02,2019,-1,2019-02-01
32, 2 ,02,2019,-4,2019-02-02
33, 3 ,02,2019,1,2019-02-03
34, 4 ,02,2019,2,2019-02-04
35, 5 ,02,2019,2,2019-02-05
36, 6 ,02,2019,-2,2019-02-06
37, 7 ,02,2019,-2,2019-02-07
38, 8 ,02,2019,0,2019-02-08
39, 9 ,02,2019,-2,2019-02-09
40, 10 ,02,2019,-3,2019-02-10
41, 11 ,02,2019,-1,2019-02-11
42, 12 ,02,2019,1,2019-02-12
43, 13 ,02,2019,1,2019-02-13
44, 14 ,02,2019,-3,2019-02-14
45, 15 ,02,2019,2,2019-02-15
46, 16 ,02,2019,2,2019-02-16
47, 17 ,02,2019,3,2019-02-17
48, 18 ,02,2019,-2,2019-02-18
49, 19 ,02,2019,0,2019-02-19
50, 20 ,02,2019,2,2019-02-20
51, 21 ,02,2019,1,2019-02-21
52, 22 ,02,2019,-8,2019-02-22
53, 23 ,02,2019,-6,2019-02-23
54, 24 ,02,2019,0,2019-02-24
55, 25 ,02,2019,2,2019-02-25
56, 26 ,02,2019,2,2019-02-26
57, 27 ,02,2019,-1,2019-02-27
58, 28 ,02,2019,2,2019-02-28
59, 1 ,03,2019,2,2019-03-01
60, 2 ,03,2019,-5,2019-03-02
61, 3 ,03,2019,-1,2019-03-03
62, 4 ,03,2019,1,2019-03-04
63, 5 ,03,2019,4,2019-03-05
64, 6 ,03,2019,2,2019-03-06
65, 7 ,03,2019,-3,2019-03-07
66, 8 ,03,2019,3,2019-03-08
67, 9 ,03,2019,4,2019-03-09
68, 10 ,03,2019,4,2019-03-10
69, 11 ,03,2019,3,2019-03-11
70, 12 ,03,2019,0,2019-03-12
71, 13 ,03,2019,-2,2019-03-13
72, 14 ,03,2019,1,2019-03-14
73, 15 ,03,2019,2,2019-03-15
74, 16 ,03,2019,0,2019-03-16
75, 17 ,03,2019,2,2019-03-17
76, 18 ,03,2019,4,2019-03-18
77, 19 ,03,2019,4,2019-03-19
78, 20 ,03,2019,3,2019-03-20
79, 21 ,03,2019,2,2019-03-21
80, 22 ,03,2019,2,2019-03-22
81, 23 ,03,2019,4,2019-03-23
82, 24 ,03,2019,2,2019-03-24
83, 25 ,03,2019,6,2019-03-25
84, 26 ,03,2019,6,2019-03-26
85, 27 ,03,2019,3,2019-03-27
86, 28 ,03,2019,3,2019-03-28
87, 29 ,03,2019,4,2019-03-29
88, 30 ,03,2019,9,2019-03-30
89, 31 ,03,2019,15,2019-03-31
90, 1 ,04,2019,7,2019-04-01
91, 2 ,04,2019,7,2019-04-02
92, 3 ,04,2019,9,2019-04-03
93, 4 ,04,2019,10,2019-04-04
94, 5 ,04,2019,9,2019-04-05
95, 6 ,04,2019,8,2019-04-06
96, 7 ,04,2019,8,2019-04-07
97, 8 ,04,2019,10,2019-04-08
98, 9 ,04,2019,17,2019-04-09
99, 10 ,04,2019,14,2019-04-10
100, 11 ,04,2019,10,2019-04-11
101, 12 ,04,2019,5,2019-04-12
102, 13 ,04,2019,7,2019-04-13
103, 14 ,04,2019,4,2019-04-14
104, 15 ,04,2019,11,2019-04-15
105, 16 ,04,2019,13,2019-04-16
106, 17 ,04,2019,10,2019-04-17
107, 18 ,04,2019,11,2019-04-18
108, 19 ,04,2019,11,2019-04-19
109, 20 ,04,2019,12,2019-04-20
110, 21 ,04,2019,16,2019-04-21
111, 22 ,04,2019,18,2019-04-22
112, 23 ,04,2019,18,2019-04-23
113, 24 ,04,2019,22,2019-04-24
114, 25 ,04,2019,23,2019-04-25
115, 26 ,04,2019,21,2019-04-26
116, 27 ,04,2019,23,2019-04-27
117, 28 ,04,2019,12,2019-04-28
118, 29 ,04,2019,10,2019-04-29
119, 30 ,04,2019,12,2019-04-30
120, 1 ,05,2019,16,2019-05-01
121, 2 ,05,2019,11,2019-05-02
122, 3 ,05,2019,16,2019-05-03
123, 4 ,05,2019,14,2019-05-04
124, 5 ,05,2019,22,2019-05-05
125, 6 ,05,2019,23,2019-05-06
126, 7 ,05,2019,25,2019-05-07
127, 8 ,05,2019,22,2019-05-08
128, 9 ,05,2019,25,2019-05-09
129, 10 ,05,2019,25,2019-05-10
130, 11 ,05,2019,21,2019-05-11
131, 12 ,05,2019,21,2019-05-12
132, 13 ,05,2019,21,2019-05-13
133, 14 ,05,2019,21,2019-05-14
