,№ заявки,Цех,Инв. номер,Год выпуска,Оборудование,Модель,Дата открытия,Описание неисправ.,Причина неисправности,Принятые меры,Дата закрытия заявки,data,day,month,year,temp,длительность ремонта,Категория оборудования
14540,19-01-006,ЦЕХ 22,5/40,1989.0,tokapho-peboльb.ct. с чпу,1В340Ф30РМ,2019-01-09,не запускается,выход из строя гл привода,замена гл привода,2019-01-11,2019-01-09,9.0,1.0,2019.0,-10.0,2 days,Р
14541,19-01-011,ЦЕХ 23,5/675,1993.0,вертикально-фрезерный станок с чпу,6М13НК,2019-01-09,нет движения по z,ош оператора,диагностика,2019-01-09,2019-01-09,9.0,1.0,2019.0,-10.0,0 days,Ф
14542,19-01-015,ЦЕХ 16,9/822,1985.0,источник питания,ИСВУ-315,2019-01-09,"замкнуло плату, дым",вышел из строя электролит в релейном блоке,замена электролита,2019-01-11,2019-01-09,9.0,1.0,2019.0,-10.0,2 days,Э
14543,19-01-017,ЦЕХ 26,5-778,2013.0,обрабатывающий центр,E160A,2019-01-09,не выходит в 0,"села батарейка, слетели параметры привязки осей","замена батарейки, волсстановление параметров привязки осей к 0",2019-01-15,2019-01-09,9.0,1.0,2019.0,-10.0,6 days,Т
14544,19-01-007,ЦЕХ 16,3/633,2000.0,печь вертикальная,6818-2185,2019-01-09,не вкл,неисправна плата тпчт,ремонт платы,2019-01-15,2019-01-09,9.0,1.0,2019.0,-10.0,6 days,Г
14545,19-01-003,ЦЕХ 16,5-775,2013.0,станок токарный универсальный,DUS-1110 Li,2019-01-09,ош по приводу,сбой концевиков защитного кожуха шпинделя,рег-ка концевиков,2019-01-15,2019-01-09,9.0,1.0,2019.0,-10.0,6 days,Т
14546,19-01-018,ЦЕХ 26,5/52,1992.0,токарно-револьверный ст-к с чпу,1В340Ф30,2019-01-09,черный экран,выход из строя чпу,замена чпу,2019-01-11,2019-01-09,9.0,1.0,2019.0,-10.0,2 days,Р
14547,19-01-002,ЦЕХ 16,5-749,2010.0,центр вертикально-фрезерный обрабатывающий,A-6,2019-01-09,нехватка фреона,утечка фреона,заправка,2019-01-10,2019-01-09,9.0,1.0,2019.0,-10.0,1 days,Ф
14548,19-01-004,ЦЕХ 23,5-755,2011.0,центр обрабатывающий токарный,DZ 45 CNC/H2,2019-01-09,нет смены инструмента,ошибка оператора,диагностика,2019-01-10,2019-01-09,9.0,1.0,2019.0,-10.0,1 days,Т
14549,19-01-014,ЦЕХ 20,5-614,2011.0,электроэрозионный станок,HSDA5-111,2019-01-09,неисправен замок двери,вышел из строя замок двери,замена замка,2019-01-09,2019-01-09,9.0,1.0,2019.0,-10.0,0 days,Э
